date,n1,n2,n3,n4,n5,n6
1/7/2016,34,26,36,29,11,25
1/10/2016,41,16,14,8,29,47
1/14/2016,45,41,38,46,23,33
1/17/2016,21,20,9,5,2,14
1/21/2016,17,13,5,1,20,9
1/24/2016,43,39,4,28,20,5
1/28/2016,11,35,13,1,33,14
1/31/2016,28,6,49,18,9,36
2/4/2016,42,47,44,45,6,24
2/7/2016,36,29,4,1,45,42
2/11/2016,32,40,9,31,21,28
2/14/2016,23,46,8,11,48,13
2/18/2016,33,5,4,18,16,8
2/21/2016,47,21,1,40,31,39
2/25/2016,15,34,31,37,6,24
2/28/2016,25,4,19,41,20,36
3/3/2016,16,38,19,27,41,45
3/6/2016,29,8,2,34,46,37
3/6/2016,41,14,49,25,2,44
3/10/2016,26,28,44,46,3,45
3/13/2016,3,21,45,19,4,29
3/17/2016,40,13,45,9,43,41
3/20/2016,4,5,30,23,36,1
3/24/2016,15,21,24,47,16,18
3/27/2016,2,3,24,40,6,43
3/31/2016,21,11,44,43,32,5
4/3/2016,36,6,34,13,47,49
4/7/2016,20,26,39,25,14,21
4/10/2016,35,42,17,41,28,33
4/14/2016,9,44,5,16,31,10
4/17/2016,9,15,12,27,44,46
4/21/2016,18,47,5,14,46,6
4/24/2016,6,15,42,43,45,32
5/1/2016,16,40,9,36,37,43
5/1/2016,22,23,11,39,42,8
5/5/2016,39,5,19,13,15,32
5/8/2016,48,17,34,25,14,5
5/12/2016,3,37,6,22,2,10
5/15/2016,24,4,42,25,37,20
5/19/2016,24,7,34,2,9,37
5/22/2016,30,13,1,42,34,19
5/26/2016,1,43,21,45,26,20
5/29/2016,11,48,3,19,10,5
6/2/2016,13,27,37,8,23,12
6/5/2016,39,7,4,13,36,22
6/9/2016,30,42,44,18,10,31
6/12/2016,27,20,25,46,22,11
6/16/2016,30,16,4,9,13,2
6/19/2016,25,35,30,4,11,14
6/23/2016,24,7,46,35,3,27
6/26/2016,24,43,1,25,46,22
6/30/2016,1,27,34,49,14,6
7/3/2016,42,25,38,22,27,15
7/7/2016,15,31,26,4,42,17
7/10/2016,9,38,45,21,20,5
7/14/2016,22,31,34,47,10,49
7/17/2016,12,26,9,45,4,47
7/21/2016,2,41,42,6,39,12
7/24/2016,24,16,28,21,6,33
7/28/2016,42,44,10,3,33,27
7/31/2016,38,32,31,49,3,4
8/4/2016,16,42,2,6,46,30
8/7/2016,7,5,36,41,4,32
8/11/2016,14,4,19,49,34,38
8/14/2016,47,3,49,6,7,24
8/18/2016,6,44,1,4,19,8
8/21/2016,38,17,5,11,36,13
8/25/2016,6,11,25,9,12,1
8/28/2016,48,6,4,30,13,26
